Source: ACS 1-Year Estimates Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: default universe (usually US)"
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Place of birth (Recode)","0-4","5-14","15-24","25-44","45-54","55-64","65-74","75-84","85_ov","Total"
" -> Total","19315823","41194783","42771131","87636269","40786550","42458184","31601594","16139652","6335537","328239523"
"Alabama/AL","281531","562507","580054","1141664","565194","636819","569371","327622","118300","4783062"
"Alaska/AK","54114","102326","100435","202182","60212","62154","31528","12143","5440","630534"
"Arizona/AZ","408541","879300","786657","1072716","326104","293733","161525","80369","23773","4032718"
"Arkansas/AR","183903","372061","351640","642516","313227","339660","327951","217610","86073","2834641"
"California/CA","2335115","4929721","5007148","8788110","2985435","2980023","1862427","716935","246138","29851052"
"Colorado/CO","315155","661267","617897","980885","367633","378946","264440","132687","49070","3767980"
"Connecticut/CT","171736","380407","440797","801352","411708","470581","320612","169386","65600","3232179"
"Delaware/DE","54157","120259","109586","191970","88146","92392","61893","27342","9113","754858"
"District of Columbia/DC","73846","129405","126215","334484","204818","246602","195919","83073","23617","1417979"
"Florida/FL","1078433","2110658","1888040","2884787","934434","843714","502629","206323","68967","10517985"
"Georgia/GA","613541","1318496","1237522","1828728","811818","819969","656897","358359","122747","7768077"
"Hawaii/HI","80970","175116","172485","363328","143224","149456","115043","61293","34607","1295522"
"Idaho/ID","105860","224083","188589","345784","130812","151351","121253","66587","21335","1355654"
"Illinois/IL","722495","1588974","1743596","3322365","1659693","1897654","1408652","737763","291984","13373176"
"Indiana/IN","408303","838056","856480","1564933","840337","931838","706902","342785","122946","6612580"
"Iowa/IA","179305","388641","381079","795655","430350","543921","462794","268520","120795","3571060"
"Kansas/KS","188816","400874","364849","690035","309173","415068","325347","173931","81845","2949938"
"Kentucky/KY","259110","528757","522671","1007257","516259","619439","538630","309025","108653","4409801"
"Louisiana/LA","296478","622383","635347","1415112","620415","703769","522572","264009","95516","5175601"
"Maine/ME","57216","128297","137932","318146","179965","203702","163024","88834","35776","1312892"
"Maryland/MD","331178","679065","669779","1102358","512063","552848","385803","174527","65053","4472674"
"Massachusetts/MA","341776","716393","819823","1482792","822579","953204","738830","388321","174602","6438320"
"Michigan/MI","545323","1176426","1315991","2642262","1389605","1625676","1197500","569931","213557","10676271"
"Minnesota/MN","336901","693791","671790","1257049","591161","738854","591776","316468","131396","5329186"
"Mississippi/MS","177242","400877","396985","771172","389456","464121","419160","229010","86166","3334189"
"Missouri/MO","362005","754394","754625","1461837","692581","814268","653563","364154","139730","5997157"
"Montana/MT","57505","122411","117660","252068","111003","138397","112550","60432","27131","999157"
"Nebraska/NE","130888","263877","248446","484479","236452","278553","245082","133832","70197","2091806"
"Nevada/NV","164959","348482","265376","308149","82344","64482","32213","16414","3547","1285966"
"New Hampshire/NH","61643","132606","141557","267326","100952","105776","88508","51345","21228","970941"
"New Jersey/NJ","468257","987694","1063918","1884695","957400","1049051","740165","377045","158858","7687083"
"New Mexico/NM","111313","277669","270491","488590","208717","237031","172345","85042","28459","1879657"
"New York/NY","1132273","2303330","2469712","4825728","2585281","2992991","2328756","1195355","525045","20358471"
"North Carolina/NC","580939","1215998","1138140","1743031","831134","919946","794378","427285","159678","7810529"
"North Dakota/ND","63546","101461","94828","226256","106500","148919","132365","75800","35058","984733"
"Ohio/OH","670517","1390908","1457779","3019987","1646005","1909989","1412638","665879","242127","12415829"
"Oklahoma/OK","228141","508844","472856","874143","369715","397091","364310","257552","103702","3576354"
"Oregon/OR","219345","437301","418835","779881","293425","312848","272791","107284","34353","2876063"
"Pennsylvania/PA","666589","1410100","1446509","3053298","1668391","2064291","1715607","955702","425688","13406175"
"Rhode Island/RI","57609","113004","129641","254335","132438","161409","128957","67693","28879","1073965"
"South Carolina/SC","262657","533026","505842","949377","437227","491308","418411","221641","79566","3899055"
"South Dakota/SD","63725","128059","104586","228797","107512","152687","131883","70283","36371","1023903"
"Tennessee/TN","410135","830031","784753","1325126","629811","677364","574859","322818","115778","5670675"
"Texas/TX","1898032","3722670","3374840","5468352","1983347","2041922","1500489","737318","275827","21002797"
"Utah/UT","251644","513981","453304","746034","232324","226593","171101","86262","30320","2711563"
"Vermont/VT","28718","57300","62576","139185","62986","82361","61523","38507","17069","550225"
"Virginia/VA","478609","979827","928946","1554455","699201","761706","597358","282701","107608","6390411"
"Washington/WA","424554","850533","762872","1297947","470390","541926","438588","181655","61710","5030175"
"West Virginia/WV","92633","194773","203174","482993","265546","339367","356826","218118","82268","2235698"
"Wisconsin/WI","322224","678253","690416","1369887","707125","837473","637850","332605","140019","5715852"
"Wyoming/WY","35078","75433","62280","148793","51687","68611","54733","29660","10013","536288"
"American Samoa","503","1708","5876","14830","5812","4157","2112","819","0","35817"
"Guam","2253","7124","12327","35481","17366","11755","7230","1967","431","95934"
"Commonwealth of the Northern Mariana Islands","345","2038","3770","8317","1345","712","481","50","0","17058"
"Puerto Rico","21881","138345","173436","582794","288088","265830","245796","140415","49779","1906364"
"US Virgin Islands","966","8105","9176","23868","15159","7740","4127","2351","720","72212"
"Albania","1200","3486","7298","43034","15027","16028","8479","4294","524","99370"
"Austria","345","694","2446","7354","3601","4546","17861","5707","4936","47490"
"Belgium","1022","3747","3410","11239","6275","4850","6574","2623","1314","41054"
"Bulgaria","149","2439","6711","28914","14565","7997","5034","2904","476","69189"
"Czechoslovakia","0","0","370","2287","2239","1263","3700","3141","3930","16930"
"Denmark","536","3760","2233","7227","5259","4359","4648","4659","3229","35910"
"Finland","441","1633","1699","5570","4040","3735","3689","1928","654","23389"
"France","1963","9933","18638","65494","36824","45372","22349","14796","7819","223188"
"Germany","11675","43508","76889","324808","192134","205484","143331","101988","43175","1142992"
"Greece","376","2300","5635","18562","17964","24759","28252","22476","11719","132043"
"Hungary","158","1887","3355","16303","8848","6449","13911","11721","6450","69082"
"Iceland","0","451","1781","3838","1743","1220","166","399","105","9703"
"Ireland","314","3021","3178","23498","24160","21050","16633","21328","8268","121450"
"Italy","5022","13776","19003","52795","53474","62544","73707","72809","40873","394003"
"Netherlands","522","3977","6176","21914","16278","15948","18096","13214","4931","101056"
"Norway","364","1386","1873","7114","3338","1989","3678","3573","1298","24613"
"Poland","1216","3516","15325","128928","69771","88311","65470","30208","20428","423173"
"Portugal","274","2874","3197","25086","27673","39063","27767","16952","4267","147153"
"Azores Islands","0","116","207","1482","4101","6475","7227","3597","1185","24390"
"Romania","752","2938","11886","60529","37180","25442","18002","10661","4608","171998"
"Spain","2550","14396","14569","55972","29771","17505","9651","8379","5309","158102"
"Sweden","318","4299","4117","13851","10201","5239","7220","3475","799","49519"
"Switzerland","1223","3970","5085","12972","9649","7641","5350","5564","1883","53337"
"United Kingdom, Not Specified","6019","26641","27951","104763","80551","65358","44066","27669","7969","390987"
"England","3084","13028","24929","78471","66960","82308","60425","45228","20381","394814"
"Scotland","142","1181","1940","10579","7969","10122","11853","12120","3702","59608"
"Northern Ireland","922","1626","1115","2380","2694","3424","2683","2335","871","18050"
"Yugoslavia","0","0","714","7346","6566","8071","6124","6505","3565","38891"
"Czech Republic","183","474","3154","11743","5085","2816","4920","2736","1312","32423"
"Slovakia","339","1062","1147","7937","3654","2231","1908","1950","639","20867"
"Bosnia and Herzegovina","185","1017","9679","44993","23344","20916","7247","3182","389","110952"
"Croatia","0","264","1643","9569","4989","6885","5664","5276","2070","36360"
"Macedonia","147","958","3258","12115","4234","3717","3969","2539","93","31030"
"Serbia","88","1054","3441","15382","8189","6806","3392","2235","653","41240"
"Latvia","0","1063","1714","8188","2757","1633","1553","6658","1614","25180"
"Lithuania","197","554","2444","12638","3290","3749","1739","5235","2110","31956"
"Armenia","1091","2728","2880","33709","14267","20625","8885","2944","789","87918"
"Azerbaijan","219","562","1839","10221","4033","5342","2568","1582","222","26588"
"Belarus","126","1895","3399","24813","9438","7474","4637","5697","1984","59463"
"Georgia","124","1418","2881","9245","5647","3495","2910","1267","992","27979"
"Moldova","354","1336","4737","21210","7292","5581","4112","1425","1123","47170"
"Russia","4044","17285","59313","148415","58576","50057","39178","20681","10612","408161"
"Ukraine","1901","10572","30274","134394","53748","51507","32145","28750","15640","358931"
"USSR","0","0","400","15110","13568","12733","12016","5196","3745","62768"
"Europe","362","255","550","4641","1356","1825","367","432","155","9943"
"Kosovo","0","94","1704","6034","1167","1337","466","70","0","10872"
"Montenegro","0","132","1220","5314","3090","3826","1130","205","67","14984"
"Other Europe, Not Specified","114","1485","1068","8325","2454","2365","3650","3480","2462","25403"
"Afghanistan","6302","23942","9799","56129","14632","11102","9168","3639","2082","136795"
