Source: ACS 1-Year Estimates Public Use Microdata Sample 2019
Weight used: null
"Universe: selected geographies: Alabama, Alaska, Arkansas, Arizona, Colorado, California, Connecticut, District of Columbia, Delaware, Georgia, Florida, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Minnesota, Mississippi, Michigan, Missouri, Montana, Nebraska, New Hampshire, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Rhode Island, South Carolina, South Dakota, Pennsylvania, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wyoming, Wisconsin"
"Selected Geographies",""
" -> Total","1548188"
"Alabama","25236"
"Alaska","3732"
"Arizona","33983"
"Arkansas","15424"
"California","159756"
"Colorado","26753"
"Connecticut","17331"
"Delaware","4755"
"District of Columbia","3754"
"Florida","104939"
"Georgia","48468"
"Hawaii","6335"
"Idaho","7969"
"Illinois","59113"
"Indiana","32627"
"Iowa","16039"
"Kansas","14363"
"Kentucky","22407"
"Louisiana","22970"
"Maine","8331"
"Maryland","27570"
"Massachusetts","34257"
"Michigan","50367"
"Minnesota","27346"
"Mississippi","15083"
"Missouri","31663"
"Montana","5646"
"Nebraska","9468"
"Nevada","13386"
"New Hampshire","7145"
"New Jersey","39859"
"New Mexico","10220"
"New York","95121"
"North Carolina","53032"
"North Dakota","4148"
"Ohio","58137"
"Oklahoma","19632"
"Oregon","19981"
"Pennsylvania","64608"
"Rhode Island","5486"
"South Carolina","26121"
"South Dakota","4525"
"Tennessee","33077"
"Texas","123710"
"Utah","12416"
"Vermont","3829"
"Virginia","39936"
"Washington","35273"
"West Virginia","9844"
"Wisconsin","30028"
"Wyoming","2989"
