Source: ACS 5-Year Estimates Public Use Microdata Sample 2020
Weight used: null
"Universe: default universe (usually US)"
"","Year of entry recode (YOEP_RC1)","","","","","","","","","","","",""
"Place of birth (Recode)","Before_1951","1951_1960","1961_1970","1971_1980","1981_1990","1991_2000","2001_2010","2011_2015","2016","2017","2018","2019","2020"
"Alabama/AL","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alaska/AK","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Arizona/AZ","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Arkansas/AR","0","0","0","0","0","0","0","0","0","0","0","0","0"
"California/CA","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Colorado/CO","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Connecticut/CT","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delaware/DE","0","0","0","0","0","0","0","0","0","0","0","0","0"
"District of Columbia/DC","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Florida/FL","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Georgia/GA","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hawaii/HI","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Idaho/ID","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Illinois/IL","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Indiana/IN","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iowa/IA","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kansas/KS","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kentucky/KY","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Louisiana/LA","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maine/ME","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maryland/MD","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Massachusetts/MA","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michigan/MI","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Minnesota/MN","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mississippi/MS","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Missouri/MO","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Montana/MT","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nebraska/NE","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nevada/NV","0","0","0","0","0","0","0","0","0","0","0","0","0"
"New Hampshire/NH","0","0","0","0","0","0","0","0","0","0","0","0","0"
"New Jersey/NJ","0","0","0","0","0","0","0","0","0","0","0","0","0"
"New Mexico/NM","0","0","0","0","0","0","0","0","0","0","0","0","0"
"New York/NY","0","0","0","0","0","0","0","0","0","0","0","0","0"
"North Carolina/NC","0","0","0","0","0","0","0","0","0","0","0","0","0"
"North Dakota/ND","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ohio/OH","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oklahoma/OK","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oregon/OR","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pennsylvania/PA","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhode Island/RI","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Carolina/SC","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Dakota/SD","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee/TN","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Texas/TX","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Utah/UT","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vermont/VT","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Virginia/VA","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington/WA","0","0","0","0","0","0","0","0","0","0","0","0","0"
"West Virginia/WV","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wisconsin/WI","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wyoming/WY","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Samoa","8","36","109","162","176","203","261","158","40","40","18","10","2"
"Guam","64","258","451","671","608","807","910","498","96","114","88","39","12"
"Commonwealth of the Northern Mariana Islands","3","8","15","41","37","81","226","115","35","36","23","19","2"
"Puerto Rico","2569","6160","7611","7337","9121","9595","11323","8660","2040","2324","1038","522","181"
"US Virgin Islands","47","81","124","294","507","518","500","297","74","91","52","25","10"
"Albania","22","39","81","67","86","1348","1215","613","141","108","82","48","9"
"Austria","384","802","363","191","213","278","206","177","74","30","21","18","1"
"Belgium","130","258","228","225","326","337","398","294","73","54","45","34","8"
"Bulgaria","11","35","82","70","169","1171","1263","447","86","48","29","22","6"
"Czechoslovakia","150","148","208","81","135","149","50","22","2","0","1","3","1"
"Denmark","77","257","256","168","207","239","222","192","81","59","44","28","6"
"Finland","39","107","131","124","124","181","188","146","70","30","33","21","4"
"France","425","1432","1717","849","1001","1709","1771","1768","504","405","265","166","42"
"Germany","2966","11224","11469","7326","7621","7359","5429","3161","833","651","492","277","55"
"Greece","311","968","1854","1475","708","526","412","439","71","64","53","18","8"
"Hungary","223","939","365","304","405","482","420","283","60","74","36","24","3"
"Iceland","9","43","61","79","93","86","74","37","18","3","12","1","4"
"Ireland","392","1095","976","550","1123","1103","820","519","140","128","65","53","10"
"Italy","1402","4283","4771","2807","1462","1651","1648","1318","353","274","196","148","21"
"Netherlands","287","1016","729","507","580","756","656","503","148","131","82","52","12"
"Norway","109","194","211","109","162","176","186","138","48","29","30","25","9"
"Poland","687","950","1624","1728","4208","5649","3682","813","240","151","116","70","11"
"Portugal","115","472","1663","2074","1276","692","484","297","67","59","26","17","3"
"Azores Islands","36","201","518","494","170","67","46","24","9","4","0","2","1"
"Romania","105","195","346","609","1487","2400","1858","658","135","97","82","56","1"
"Spain","70","271","978","897","828","898","923","1165","311","251","188","133","23"
"Sweden","71","225","267","239","328","495","447","372","108","93","68","40","12"
"Switzerland","95","260","303","281","326","471","380","293","84","83","55","41","9"
"United Kingdom, Not Specified","382","1070","1829","2096","2780","3839","4073","2788","663","558","354","252","36"
"England","1134","2802","3574","2984","3151","3144","2491","1337","319","233","154","102","19"
"Scotland","204","554","683","501","454","433","358","190","46","30","35","21","1"
"Northern Ireland (2017 or later)","35","82","102","95","69","80","70","40","12","8","18","4","2"
"Yugoslavia","92","311","285","204","164","347","123","54","13","4","8","2","0"
"Czech Republic","48","98","238","109","226","353","238","138","51","36","19","25","0"
"Slovakia","30","44","88","38","105","293","207","95","26","17","13","9","0"
"Bosnia and Herzegovina","10","32","67","62","122","3072","788","153","27","47","25","8","1"
"Croatia","48","175","462","246","162","488","170","94","33","32","7","9","5"
"Macedonia","7","26","121","159","156","217","235","129","33","26","12","10","11"
"Serbia","21","90","162","163","169","452","341","244","54","46","31","18","2"
"Latvia","270","124","43","80","88","269","184","104","21","13","12","8","0"
"Lithuania","221","105","42","34","84","477","433","122","32","28","16","19","0"
"Armenia","13","35","56","325","733","1161","802","433","97","70","63","23","0"
"Azerbaijan","1","2","4","26","88","473","193","101","26","33","27","16","1"
"Belarus","25","27","20","119","358","1241","733","345","97","66","40","18","3"
"Georgia","3","5","14","22","45","325","270","187","42","30","23","15","1"
"Moldova","3","15","12","71","117","692","681","332","79","41","31","26","1"
"Russia","175","221","293","774","1470","7098","5353","2204","494","373","231","190","19"
"Ukraine","269","276","232","968","1681","6027","3802","1725","465","333","208","123","16"
"USSR","22","30","47","342","509","1151","478","188","31","42","14","9","0"
"Europe (2017 or later)","18","32","50","28","55","89","65","25","12","8","8","4","0"
"Kosovo (2017 or later)","0","5","8","11","25","179","120","62","8","4","26","8","5"
"Montenegro","3","7","56","98","104","194","109","41","6","6","8","4","0"
"Other Europe, Not Specified","156","261","168","108","117","306","209","143","32","22","12","6","0"
"Afghanistan","12","22","61","206","788","509","591","1080","488","465","132","132","29"
"Bangladesh","1","5","69","343","1139","2732","3269","2229","468","321","228","125","21"
"Bhutan","3","0","4","11","32","47","722","671","68","19","7","0","2"
"Myanmar","3","26","128","430","522","753","2058","1444","228","105","84","61","12"
"Cambodia","6","34","83","1255","2855","795","1113","473","112","94","40","54","11"
"China","633","1065","3029","5457","13838","22429","26485","19080","5229","3818","2951","2032","252"
"Cyprus (2016 or earlier)","1","8","19","28","14","16","7","8","0","0","0","0","0"
"Hong Kong","47","240","1472","2591","3057","2866","1538","783","216","142","149","75","10"
"India","86","322","2585","7531","11866","22806","28338","22522","5929","4080","2818","1730","316"
"Indonesia","24","286","344","378","739","1207","1130","500","160","108","81","71","13"
"Iran","109","309","787","4054","3481","2789","3367","2278","443","303","138","80","22"
"Iraq","33","121","256","741","521","1461","2437","2448","406","183","57","34","5"
"Israel","71","406","594","1004","1296","1181","1623","997","243","232","139","69","10"
"Japan","340","2826","3408","3251","2986","4129","3868","3115","1011","842","652","367","99"
"Jordan","13","51","190","377","492","638","790","558","172","121","74","49","4"
