Source: ACS 5-Year Estimates Public Use Microdata Sample 2020
Weight used: null
"Universe: default universe (usually US)"
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Place of birth (Recode)","Total","Between 0 and 4","Between 5 and 14","Between 15 and 24","Between 25 and 44","Between 45 and 54","Between 55 and 64","Between 65 and 74","Between 75 and 84","Between 85 and Over"
" -> Total","15441673","769960","1766113","1910540","3650582","1976966","2273698","1807172","910015","376627"
"Alabama/AL","226907","10616","23684","24878","46570","27630","34687","33127","18856","6859"
"Alaska/AK","33153","2514","5662","5254","9327","3593","3917","1914","688","284"
"Arizona/AZ","178879","16054","36912","33223","45111","15765","15944","9720","4448","1702"
"Arkansas/AR","139627","7398","16325","15865","27717","15496","18978","20051","12674","5123"
"California/CA","1338026","88503","207352","225723","354560","146146","156676","105488","38417","15161"
"Colorado/CO","179700","13574","29750","27482","43107","18545","21085","15588","7572","2997"
"Connecticut/CT","159395","7247","17049","21183","34820","21345","25080","19229","9172","4270"
"Delaware/DE","34153","1912","4596","4752","8028","4405","4997","3440","1487","536"
"District of Columbia/DC","68336","2790","5652","6088","13490","10273","13085","11491","4327","1140"
"Florida/FL","444303","36783","80489","79010","114209","44376","45554","27782","11571","4529"
"Georgia/GA","348706","22888","51962","50736","74312","38521","44242","38139","20210","7696"
"Hawaii/HI","64882","3554","8115","8400","15604","7813","8760","6967","3502","2167"
"Idaho/ID","66914","4807","10291","8485","15283","6658","8525","7233","4129","1503"
"Illinois/IL","671368","30338","70661","80012","147693","86899","108506","85317","43292","18650"
"Indiana/IN","332281","17378","38150","39087","71638","43181","52571","42014","20149","8113"
"Iowa/IA","196313","8644","19138","18240","38844","23813","32901","29935","17027","7771"
"Kansas/KS","155968","8431","18373","16977","32286","17262","24927","20463","11509","5740"
"Kentucky/KY","221502","11060","24187","23944","45606","26364","34024","31601","17955","6761"
"Louisiana/LA","228248","10706","23549","25100","53639","28742","36127","29477","15288","5620"
"Maine/ME","63720","2494","5739","6380","13552","8321","10775","9368","4934","2157"
"Maryland/MD","214321","13151","29651","31345","47961","26006","29876","22472","9952","3907"
"Massachusetts/MA","323228","14308","32425","40547","66442","41409","51642","44120","21930","10405"
"Michigan/MI","539275","22919","53035","59276","117524","72650","94006","72315","34374","13176"
"Minnesota/MN","283798","14325","32840","31105","58553","33925","46724","37921","19955","8450"
"Mississippi/MS","153691","6771","15855","16564","31152","18719","24039","22900","12762","4929"
"Missouri/MO","302370","15891","35341","35411","64519","35926","45810","39201","21347","8924"
"Montana/MT","50154","2547","5799","4995","10635","5824","8431","6722","3673","1528"
"Nebraska/NE","110298","5699","12082","11539","22591","12717","16994","15267","8929","4480"
"Nevada/NV","54855","6390","14399","11281","12072","4150","3489","1991","835","248"
"New Hampshire/NH","48526","2555","6134","6883","12010","5365","6343","5290","2781","1165"
"New Jersey/NJ","371819","18495","43006","50635","81029","48538","56744","43343","20590","9439"
"New Mexico/NM","86524","4376","11197","11180","20759","10101","12916","9316","4899","1780"
"New York/NY","1021622","45917","104036","119071","211675","134842","167022","139206","68330","31523"
"North Carolina/NC","359610","22774","49662","48208","71001","39977","48982","44901","24414","9691"
"North Dakota/ND","54725","2955","5460","4629","10555","6215","9010","8430","5062","2409"
"Ohio/OH","628209","28582","63862","70435","137282","84533","106227","82556","38610","16122"
"Oklahoma/OK","178980","9984","23001","21075","39285","18827","23307","21886","15296","6319"
"Oregon/OR","139300","9028","20024","19333","34086","14799","17801","15652","6220","2357"
"Pennsylvania/PA","707177","28713","64901","73010","142977","90150","119952","105219","56976","25279"
